run_id	Lift curve.Positive rate	Lift curve
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.40625	65
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.40625	65
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.40625	65
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.40625	65
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.40625	65
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.40625	65
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.40625	65
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.40625	65
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.40625	65
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4125	65
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4125	65
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4125	65
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4125	65
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4125	65
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4125	65
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4125	65
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4125	65
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.41875	66
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.425	67
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.425	67
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.425	67
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.425	67
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.425	67
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.425	67
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.425	67
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.425	67
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.425	67
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.425	67
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.425	67
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.425	67
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.43125	68
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.43125	68
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.43125	68
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.43125	68
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.43125	68
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.43125	68
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.43125	68
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.43125	68
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.43125	68
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.43125	68
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.43125	68
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.43125	68
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.43125	68
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.43125	68
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.43125	68
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.43125	68
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.44375	70
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.45625	71
